VAR;LOC;ID;1:F;1:Fm';1:Temp;1:Y (II);1:Fo';1:qP;1:qN;1:qL;1:NPQ;1:Y (NO);1:Y (NPQ);1:Fo;1:Fm;1:Fv/Fm
CBD_C;d;L168;86;221;15.9;0.611;39;0.742;0.032;0.336;0.027;0.379;0.01;39;227;0.828
CBD_C;a;L169;76;214;15.9;0.645;29;0.746;0.026;0.285;0.023;0.347;0.008;29;219;0.868
CBD_P;b;L170;74;227;15.9;0.674;39;0.814;0.011;0.429;0.009;0.323;0.003;39;229;0.83
CBD_P;c;L171;67;202;15.9;0.668;35;0.808;0.018;0.422;0.015;0.327;0.005;35;205;0.829
CBD_P;d;L172;74;222;16.2;0.667;33;0.783;0.021;0.349;0.018;0.327;0.006;33;226;0.854
CBD_P;a;L173;74;220;16.2;0.664;39;0.807;0.042;0.425;0.036;0.325;0.011;39;228;0.829
CBD_V;b;L174;61;158;15.7;0.614;38;0.808;0.008;0.503;0.006;0.384;0.002;38;159;0.761
CBD_V;c;L175;74;231;15.7;0.68;35;0.801;0.01;0.379;0.009;0.318;0.002;35;233;0.85
CBD_V;d;L176;86;249;15.9;0.655;43;0.791;0.019;0.396;0.016;0.34;0.005;43;253;0.83
CBD_V;a;L177;83;249;15.7;0.667;40;0.794;0.014;0.383;0.012;0.329;0.004;40;252;0.841
CBD_C;b;L178;71;153;16.5;0.536;33;0.683;0.055;0.317;0.046;0.444;0.02;33;160;0.794
CBD_C;c;L179;79;161;16.5;0.509;38;0.667;0.031;0.321;0.025;0.479;0.012;38;165;0.77
CBD_C;d;L180;59;158;17.1;0.627;37;0.818;0.047;0.513;0.038;0.36;0.013;37;164;0.774
CBD_C;a;L181;62;159;17.1;0.61;37;0.795;0.047;0.474;0.038;0.376;0.014;37;165;0.776
CBD_P;b;L182;72;112;16.7;0.357;34;0.513;0.049;0.242;0.036;0.621;0.022;34;116;0.707
